Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
22,70,Male,Socks,Clothing,42,Minnesota,S,Brown,Spring,2.6,No,Store Pickup,No,No,33,Debit Card,Bi-Weekly
23,41,Female,Boots,Footwear,75,Hawaii,L,Maroon,Winter,4.2,No,Store Pickup,No,No,27,Venmo,Monthly
24,32,Female,Scarf,Accessories,43,Montana,L,Teal,Winter,3.5,No,Express,Yes,Yes,37,Cash,Weekly
25,65,Female,Boots,Footwear,40,West Virginia,XL,Beige,Fall,3.8,No,Store Pickup,No,No,13,Venmo,Every 3 Months
26,48,Male,Socks,Clothing,70,Indiana,M,Maroon,Spring,4.2,No,Express,No,No,21,Cash,Bi-Weekly
27,53,Male,Sweater,Clothing,31,Massachusetts,M,Maroon,Winter,3.5,No,Express,Yes,Yes,12,Debit Card,Quarterly
28,42,Male,Socks,Clothing,78,Kansas,L,Green,Summer,4.5,No,Next Day Air,No,No,8,Credit Card,Every 3 Months
29,39,Male,Blouse,Clothing,42,Iowa,XL,Pink,Spring,3.5,No,Next Day Air,No,No,16,Debit Card,Monthly
30,41,Female,Scarf,Accessories,58,North Carolina,XL,Green,Fall,4.1,No,2-Day Shipping,No,No,12,Bank Transfer,Every 3 Months
31,23,Female,Socks,Clothing,42,Maine,M,Indigo,Winter,4.2,No,Express,No,No,2,Credit Card,Quarterly
32,43,Female,Backpack,Accessories,57,New York,M,Gold,Fall,4.3,No,Express,Yes,Yes,14,Venmo,Monthly
33,48,Male,Jeans,Clothing,50,Alabama,M,Peach,Spring,4.7,No,Express,No,No,6,Cash,Every 3 Months
34,70,Male,Pants,Clothing,42,North Dakota,L,Violet,Fall,3.2,No,Express,No,No,14,Debit Card,Every 3 Months
35,45,Male,Sunglasses,Accessories,31,Colorado,L,Charcoal,Winter,3.1,No,Express,Yes,Yes,16,Debit Card,Bi-Weekly
36,18,Male,Jeans,Clothing,49,Maine,L,Lavender,Fall,3.5,No,Express,No,No,15,Cash,Annually
37,43,Male,Socks,Clothing,72,Utah,M,Cyan,Summer,5.0,Yes,Store Pickup,Yes,Yes,7,Debit Card,Annually
38,70,Male,Blouse,Clothing,75,Kentucky,XL,Gold,Fall,4.5,Yes,Express,No,No,11,Cash,Annually
39,57,Male,Socks,Clothing,47,Ohio,S,Yellow,Spring,3.4,No,Next Day Air,No,No,28,PayPal,Bi-Weekly
40,32,Female,Scarf,Accessories,46,Louisiana,M,Purple,Winter,3.5,No,2-Day Shipping,No,No,12,Cash,Every 3 Months
41,53,Male,Blouse,Clothing,55,Virginia,M,White,Winter,3.7,No,Store Pickup,No,No,19,Cash,Fortnightly
42,33,Female,Hoodie,Clothing,58,West Virginia,M,Peach,Fall,3.9,No,Free Shipping,Yes,Yes,5,Bank Transfer,Every 3 Months
43,24,Female,Handbag,Accessories,57,Virginia,L,Pink,Spring,4.1,No,Express,Yes,Yes,12,Debit Card,Annually
44,39,Male,Jewelry,Accessories,50,Maryland,M,Purple,Summer,4.2,No,Next Day Air,No,No,1,Cash,Annually
45,45,Female,Sunglasses,Accessories,51,Kansas,S,Pink,Spring,4.5,No,Free Shipping,No,No,29,Bank Transfer,Fortnightly
46,18,Female,Hoodie,Clothing,53,New Mexico,M,Teal,Winter,4.9,No,Express,Yes,Yes,15,PayPal,Annually
47,27,Male,Coat,Outerwear,35,South Dakota,M,Green,Fall,3.5,Yes,Free Shipping,No,No,33,Venmo,Fortnightly
48,44,Male,Pants,Clothing,52,Nebraska,L,Blue,Summer,3.6,No,Free Shipping,Yes,Yes,21,Bank Transfer,Fortnightly
49,38,Female,Blouse,Clothing,71,Oregon,M,Maroon,Winter,3.5,No,Express,No,No,5,Venmo,Quarterly
50,50,Male,Shoes,Footwear,88,Utah,M,Beige,Winter,3.5,Yes,Free Shipping,Yes,Yes,32,Debit Card,Fortnightly
51,26,Male,Backpack,Accessories,82,Pennsylvania,S,Black,Winter,4.0,Yes,Standard,No,No,3,Debit Card,Annually
52,55,Male,Jewelry,Accessories,58,Maine,L,Black,Summer,4.1,No,Store Pickup,No,No,17,PayPal,Bi-Weekly
53,26,Female,Boots,Footwear,47,Illinois,M,Black,Spring,4.7,Yes,2-Day Shipping,Yes,Yes,16,PayPal,Monthly
54,69,Female,Dress,Clothing,49,Michigan,M,Purple,Summer,3.3,No,Next Day Air,Yes,Yes,13,PayPal,Every 3 Months
55,18,Female,Shoes,Footwear,48,New Hampshire,M,Orange,Summer,3.9,No,2-Day Shipping,No,No,6,Bank Transfer,Quarterly
56,28,Female,Sunglasses,Accessories,34,Texas,M,White,Fall,3.2,No,Express,No,No,37,Cash,Bi-Weekly
57,50,Male,Socks,Clothing,43,Kansas,M,Gray,Summer,3.9,No,Standard,Yes,Yes,29,Bank Transfer,Bi-Weekly
58,69,Female,Jeans,Clothing,46,Florida,S,Green,Fall,5.0,No,Next Day Air,Yes,Yes,21,Debit Card,Bi-Weekly
59,49,Male,Skirt,Clothing,42,Kansas,L,Maroon,Spring,3.6,Yes,Store Pickup,Yes,Yes,28,Venmo,Fortnightly
60,52,Male,Coat,Outerwear,89,New Jersey,M,Silver,Spring,5.0,Yes,Standard,Yes,Yes,11,Bank Transfer,Quarterly
61,44,Female,Blouse,Clothing,68,Idaho,M,White,Winter,3.2,No,Next Day Air,No,No,12,Debit Card,Quarterly
62,29,Male,Sweater,Clothing,57,Maryland,XL,Red,Summer,3.4,No,2-Day Shipping,No,No,8,PayPal,Annually
63,37,Female,Gloves,Accessories,63,Illinois,M,Maroon,Spring,3.5,No,Express,Yes,Yes,29,Venmo,Bi-Weekly
64,26,Female,Sunglasses,Accessories,68,Wyoming,M,Yellow,Winter,3.9,Yes,Standard,Yes,Yes,24,Cash,Monthly
65,25,Female,T-shirt,Clothing,46,Montana,M,Charcoal,Spring,3.6,No,Standard,No,No,36,PayPal,Weekly
66,50,Female,Shoes,Footwear,95,Oregon,M,Magenta,Winter,4.1,Yes,2-Day Shipping,No,No,16,Credit Card,Monthly
67,27,Female,Handbag,Accessories,51,Nebraska,S,Gold,Summer,2.1,Yes,Next Day Air,No,No,12,Bank Transfer,Annually
68,49,Male,Sneakers,Footwear,33,Alabama,L,Charcoal,Summer,3.1,No,Store Pickup,Yes,Yes,8,Cash,Annually
69,24,Male,Dress,Clothing,67,Indiana,M,Indigo,Summer,4.8,Yes,Express,Yes,Yes,29,Debit Card,Monthly
70,48,Male,Jeans,Clothing,73,Tennessee,L,Silver,Spring,2.9,Yes,Free Shipping,No,No,3,Venmo,Quarterly
71,37,Male,Hat,Accessories,52,Montana,XL,Gray,Summer,3.5,No,Express,No,No,28,Debit Card,Quarterly
72,65,Male,T-shirt,Clothing,78,Oklahoma,S,Teal,Summer,4.1,No,Store Pickup,No,No,10,PayPal,Annually
73,49,Female,Gloves,Accessories,60,Rhode Island,L,Peach,Summer,3.7,No,Store Pickup,No,No,16,PayPal,Bi-Weekly
74,63,Male,Dress,Clothing,45,New Hampshire,S,Purple,Summer,3.2,No,Next Day Air,No,No,11,Bank Transfer,Annually
75,33,Male,Boots,Footwear,56,New Hampshire,M,Gold,Fall,3.9,Yes,Standard,No,No,15,Credit Card,Annually
76,45,Male,Boots,Footwear,62,Idaho,L,Turquoise,Spring,4.2,No,2-Day Shipping,Yes,Yes,25,Credit Card,Monthly
77,29,Male,Sandals,Footwear,61,Illinois,S,Cyan,Summer,3.3,No,Free Shipping,Yes,Yes,1,PayPal,Every 3 Months
78,38,Female,Jacket,Outerwear,93,Delaware,XL,Indigo,Winter,3.8,Yes,Next Day Air,Yes,Yes,13,Venmo,Annually
79,40,Female,Boots,Footwear,73,Iowa,M,Silver,Winter,4.2,No,Store Pickup,No,No,5,Debit Card,Every 3 Months
80,33,Female,Blouse,Clothing,33,New York,M,Purple,Fall,4.3,No,2-Day Shipping,Yes,Yes,5,Debit Card,Annually
81,26,Female,Skirt,Clothing,61,Washington,S,Gray,Summer,3.9,Yes,Next Day Air,Yes,Yes,19,Credit Card,Monthly
82,23,Male,Boots,Footwear,46,Michigan,M,Gold,Summer,4.7,Yes,Store Pickup,No,No,11,Debit Card,Every 3 Months
83,18,Female,Coat,Outerwear,91,New Mexico,M,Lavender,Winter,3.6,No,Store Pickup,No,No,3,Debit Card,Annually
84,28,Male,Jacket,Outerwear,52,Utah,M,Magenta,Summer,3.0,No,Standard,No,No,5,Bank Transfer,Every 3 Months
85,53,Male,Boots,Footwear,69,North Dakota,M,Black,Winter,3.5,Yes,Free Shipping,Yes,Yes,13,Venmo,Quarterly
86,20,Male,Skirt,Clothing,47,Indiana,S,Gold,Spring,4.4,No,Store Pickup,Yes,Yes,3,Debit Card,Every 3 Months
87,23,Female,Jacket,Outerwear,36,Iowa,XL,Brown,Fall,3.1,No,Free Shipping,Yes,Yes,23,Venmo,Monthly
88,70,Male,Jacket,Outerwear,48,New York,M,Brown,Fall,2.3,No,Next Day Air,Yes,Yes,37,Venmo,Weekly
89,34,Male,Scarf,Accessories,59,Iowa,M,Green,Summer,4.0,Yes,2-Day Shipping,No,No,6,Credit Card,Annually
90,49,Male,Sneakers,Footwear,69,Illinois,L,Beige,Summer,3.4,No,Free Shipping,No,No,7,Debit Card,Every 3 Months
91,54,Male,Hat,Accessories,65,New Jersey,L,Pink,Spring,5.0,No,2-Day Shipping,No,No,12,Bank Transfer,Every 3 Months
92,54,Female,Coat,Outerwear,47,New York,L,Pink,Summer,3.8,No,Free Shipping,Yes,Yes,4,Venmo,Every 3 Months
93,21,Male,T-shirt,Clothing,69,Illinois,XL,Cyan,Summer,4.4,Yes,Store Pickup,Yes,Yes,5,Bank Transfer,Annually
94,41,Male,Boots,Footwear,75,Arizona,M,Turquoise,Fall,3.4,No,Next Day Air,No,No,4,PayPal,Monthly
95,20,Male,Shirt,Clothing,66,Rhode Island,M,Orange,Fall,4.1,No,Next Day Air,Yes,Yes,6,Bank Transfer,Every 3 Months
96,70,Female,Dress,Clothing,52,Maryland,L,Gray,Summer,3.9,No,Store Pickup,No,No,23,Debit Card,Fortnightly
97,20,Male,Jeans,Clothing,59,New York,S,Charcoal,Fall,4.5,No,Free Shipping,No,No,16,Credit Card,Quarterly
98,28,Male,Sunglasses,Accessories,59,Florida,L,Lavender,Fall,3.9,No,Express,No,No,23,Bank Transfer,Monthly
99,28,Male,Shorts,Clothing,80,Kansas,S,Yellow,Spring,3.4,No,Store Pickup,No,No,13,Bank Transfer,Every 3 Months
100,22,Female,Coat,Outerwear,95,New Mexico,XL,Beige,Winter,4.2,No,Standard,No,No,13,Debit Card,Annually
101,64,Female,Belt,Accessories,67,Connecticut,L,Beige,Winter,3.3,No,Store Pickup,Yes,Yes,11,Bank Transfer,Quarterly
102,70,Female,Sandals,Footwear,61,Kansas,M,Lavender,Summer,3.2,No,Store Pickup,No,No,12,Venmo,Annually
103,37,Male,Shirt,Clothing,58,Oklahoma,M,Violet,Winter,3.7,No,Next Day Air,No,No,13,Cash,Quarterly
104,24,Female,Jeans,Clothing,59,Rhode Island,XL,Gray,Summer,3.5,No,Next Day Air,No,No,23,Bank Transfer,Quarterly
105,18,Female,Sandals,Footwear,63,Louisiana,L,Red,Spring,3.7,No,Next Day Air,Yes,Yes,8,Cash,Annually
106,40,Female,Jewelry,Accessories,55,Colorado,L,Orange,Winter,3.3,Yes,2-Day Shipping,Yes,Yes,11,PayPal,Annually
107,39,Male,Backpack,Accessories,88,Alaska,L,Charcoal,Summer,4.4,No,2-Day Shipping,No,No,11,PayPal,Quarterly
108,34,Male,Boots,Footwear,53,Nevada,S,Violet,Summer,4.3,Yes,Free Shipping,Yes,Yes,21,Venmo,Monthly
109,47,Male,Sandals,Footwear,81,Ohio,S,Charcoal,Fall,4.1,No,Next Day Air,No,No,26,PayPal,Bi-Weekly
110,50,Female,Sunglasses,Accessories,22,New Jersey,M,Maroon,Summer,4.2,No,Standard,Yes,Yes,14,Bank Transfer,Every 3 Months
111,49,Male,Coat,Outerwear,64,Massachusetts,L,Pink,Summer,2.5,No,Free Shipping,No,No,26,Bank Transfer,Fortnightly
112,39,Male,Jewelry,Accessories,58,Alaska,L,Pink,Winter,3.8,Yes,Free Shipping,Yes,Yes,17,PayPal,Monthly
113,27,Male,Belt,Accessories,61,Idaho,M,Turquoise,Summer,4.3,No,Next Day Air,Yes,Yes,6,Credit Card,Annually
114,54,Female,Jeans,Clothing,52,Alaska,XL,Purple,Fall,4.5,No,2-Day Shipping,No,No,11,Credit Card,Quarterly
115,44,Male,Shorts,Clothing,80,Mississippi,S,Pink,Fall,3.6,No,Express,Yes,Yes,20,Venmo,Fortnightly
116,57,Female,Skirt,Clothing,54,Kansas,L,Brown,Winter,4.5,No,Free Shipping,No,No,5,Credit Card,Monthly
117,56,Female,Sneakers,Footwear,44,Arkansas,M,Gray,Summer,3.8,No,Standard,Yes,Yes,16,Venmo,Bi-Weekly
118,23,Female,Hat,Accessories,42,New Mexico,M,Green,Summer,2.2,No,Express,No,No,13,Bank Transfer,Every 3 Months
119,22,Male,Hoodie,Clothing,50,Maine,S,Indigo,Winter,3.6,No,Next Day Air,No,No,24,Debit Card,Monthly
120,33,Female,Hat,Accessories,69,Wisconsin,L,Blue,Summer,3.2,No,Next Day Air,No,No,4,Bank Transfer,Every 3 Months
121,28,Female,Dress,Clothing,72,Massachusetts,L,Blue,Summer,3.3,No,Standard,No,No,6,Cash,Every 3 Months
122,55,Female,Socks,Clothing,45,California,M,Magenta,Spring,4.3,Yes,Express,Yes,Yes,15,Bank Transfer,Every 3 Months
123,49,Male,Jacket,Outerwear,61,Oklahoma,M,Red,Summer,3.8,Yes,2-Day Shipping,No,No,24,Venmo,Monthly
124,60,Male,Socks,Clothing,41,Oklahoma,M,Violet,Spring,3.4,No,Standard,No,No,17,Cash,Monthly
125,50,Male,Blouse,Clothing,53,Washington,M,White,Summer,3.3,No,2-Day Shipping,No,No,25,Credit Card,Monthly
126,47,Male,Belt,Accessories,72,Ohio,M,Maroon,Fall,4.0,No,Store Pickup,No,No,24,Venmo,Monthly
127,62,Male,T-shirt,Clothing,67,Maine,M,Violet,Fall,3.6,Yes,Free Shipping,No,No,35,Venmo,Fortnightly
128,51,Male,Belt,Accessories,72,North Dakota,L,Magenta,Spring,4.2,Yes,2-Day Shipping,No,No,6,PayPal,Quarterly
129,45,Male,Jacket,Outerwear,86,South Carolina,L,Magenta,Summer,3.1,Yes,Standard,No,No,20,Credit Card,Fortnightly
130,66,Female,Jewelry,Accessories,48,Montana,S,Cyan,Summer,3.5,No,Free Shipping,Yes,Yes,19,Bank Transfer,Monthly
131,46,Male,Backpack,Accessories,37,South Carolina,L,Peach,Spring,3.1,No,Store Pickup,Yes,Yes,12,PayPal,Every 3 Months
132,39,Female,Skirt,Clothing,49,Wisconsin,M,Gray,Summer,3.4,No,Next Day Air,No,No,6,Bank Transfer,Annually
133,31,Female,Belt,Accessories,70,Pennsylvania,XL,Maroon,Fall,5.0,No,Next Day Air,No,No,30,PayPal,Fortnightly
134,55,Male,Shirt,Clothing,74,Montana,M,White,Spring,3.3,Yes,2-Day Shipping,Yes,Yes,5,Debit Card,Annually
135,63,Female,Hoodie,Clothing,59,Missouri,S,Olive,Summer,3.4,No,Store Pickup,Yes,Yes,19,Credit Card,Quarterly
136,43,Male,Boots,Footwear,75,Tennessee,L,Gray,Summer,3.2,No,Free Shipping,No,No,5,PayPal,Every 3 Months
137,64,Female,T-shirt,Clothing,60,Utah,S,Pink,Spring,3.6,No,Store Pickup,Yes,Yes,6,Credit Card,Quarterly
138,18,Male,Sunglasses,Accessories,52,Indiana,L,Red,Fall,3.7,No,2-Day Shipping,No,No,13,Bank Transfer,Every 3 Months
139,43,Female,T-shirt,Clothing,33,Alabama,XL,Peach,Fall,4.4,No,Free Shipping,Yes,Yes,24,Credit Card,Quarterly
140,43,Male,Sandals,Footwear,80,South Dakota,L,Black,Summer,3.4,No,Standard,Yes,Yes,23,Bank Transfer,Bi-Weekly
141,33,Male,Socks,Clothing,62,Idaho,M,Cyan,Spring,3.8,Yes,Express,Yes,Yes,2,Debit Card,Annually
142,70,Male,Blouse,Clothing,51,Wyoming,M,Brown,Winter,2.6,No,Standard,Yes,Yes,26,Bank Transfer,Fortnightly
143,43,Female,Sandals,Footwear,58,Alaska,M,White,Spring,3.1,No,Store Pickup,No,No,22,Cash,Fortnightly
144,38,Female,Hat,Accessories,87,Virginia,S,Gray,Spring,4.4,Yes,Free Shipping,Yes,Yes,9,Debit Card,Every 3 Months
145,44,Male,Jacket,Outerwear,84,North Dakota,XL,Magenta,Spring,3.1,No,Free Shipping,No,No,12,PayPal,Quarterly
146,18,Male,Pants,Clothing,52,Kansas,M,Violet,Spring,4.2,No,Express,Yes,Yes,8,Cash,Annually
147,33,Male,Scarf,Accessories,71,Alaska,M,Yellow,Winter,3.2,Yes,Express,No,No,24,Debit Card,Monthly
148,59,Male,Coat,Outerwear,88,Texas,M,Cyan,Winter,3.5,No,Free Shipping,Yes,Yes,7,Cash,Quarterly
149,35,Male,Hat,Accessories,69,Colorado,XL,Turquoise,Fall,4.8,Yes,Next Day Air,Yes,Yes,16,Credit Card,Quarterly
150,32,Male,Hat,Accessories,65,California,XL,Red,Winter,4.2,Yes,Store Pickup,No,No,20,Cash,Monthly
151,64,Female,Dress,Clothing,31,South Carolina,M,Peach,Fall,2.5,Yes,Store Pickup,No,No,23,Bank Transfer,Monthly
152,64,Female,Scarf,Accessories,77,North Dakota,M,Charcoal,Summer,5.0,No,Express,No,No,16,Bank Transfer,Monthly
153,52,Male,Boots,Footwear,44,Connecticut,L,Purple,Fall,3.0,No,Next Day Air,Yes,Yes,37,Cash,Bi-Weekly
154,37,Female,Belt,Accessories,27,Louisiana,M,Peach,Summer,4.9,No,Free Shipping,No,No,18,PayPal,Bi-Weekly
155,40,Male,Coat,Outerwear,39,North Dakota,XL,Magenta,Winter,3.3,No,2-Day Shipping,No,No,12,PayPal,Every 3 Months
156,32,Female,Handbag,Accessories,49,North Carolina,XL,Orange,Winter,3.0,Yes,Standard,Yes,Yes,9,Debit Card,Quarterly
157,29,Male,Sunglasses,Accessories,65,Maine,L,Cyan,Winter,3.5,No,Next Day Air,No,No,12,Venmo,Annually
158,28,Female,Blouse,Clothing,77,Massachusetts,S,Peach,Fall,3.3,No,Free Shipping,Yes,Yes,23,Bank Transfer,Monthly
159,35,Female,Backpack,Accessories,62,Arkansas,L,Brown,Fall,3.4,No,Next Day Air,Yes,Yes,5,Debit Card,Every 3 Months
160,28,Female,Shoes,Footwear,88,Alabama,XL,Gray,Spring,3.7,No,Free Shipping,Yes,Yes,9,Credit Card,Monthly
161,21,Male,Scarf,Accessories,51,Wisconsin,M,Maroon,Fall,4.0,No,Standard,Yes,Yes,22,PayPal,Fortnightly
162,47,Female,Skirt,Clothing,54,Idaho,L,Charcoal,Spring,4.6,No,Store Pickup,No,No,9,Debit Card,Every 3 Months
163,48,Male,Belt,Accessories,27,Washington,M,Violet,Fall,3.9,No,Free Shipping,No,No,12,Credit Card,Annually
164,70,Male,Belt,Accessories,48,Arizona,XL,Violet,Spring,3.8,No,Store Pickup,Yes,Yes,7,Venmo,Monthly
165,34,Female,Coat,Outerwear,41,Wyoming,L,Magenta,Summer,3.2,Yes,Next Day Air,Yes,Yes,13,Debit Card,Every 3 Months
166,48,Male,Skirt,Clothing,37,Michigan,S,Orange,Winter,3.5,No,2-Day Shipping,No,No,31,Debit Card,Bi-Weekly
167,49,Female,Skirt,Clothing,68,South Dakota,M,Gray,Summer,3.4,No,Store Pickup,No,No,28,Venmo,Quarterly
168,40,Female,Socks,Clothing,31,Texas,S,Cyan,Fall,2.9,No,Express,No,No,5,Debit Card,Quarterly
169,55,Male,Hoodie,Clothing,33,Louisiana,M,Yellow,Summer,5.0,No,Standard,No,No,19,Debit Card,Quarterly
170,56,Female,Coat,Outerwear,40,Oregon,XL,Lavender,Summer,3.7,No,2-Day Shipping,No,No,19,Venmo,Bi-Weekly
171,49,Male,T-shirt,Clothing,76,Kentucky,M,White,Spring,3.9,Yes,2-Day Shipping,Yes,Yes,3,PayPal,Annually
172,40,Male,Scarf,Accessories,89,South Carolina,XL,Black,Spring,4.5,Yes,Express,No,No,5,PayPal,Quarterly
173,39,Male,Hoodie,Clothing,57,West Virginia,S,Blue,Summer,2.2,No,Standard,No,No,22,Cash,Monthly
174,23,Female,Gloves,Accessories,72,South Dakota,L,Magenta,Spring,5.0,No,2-Day Shipping,No,No,2,Venmo,Monthly
175,32,Male,Jacket,Outerwear,49,Oregon,XL,Silver,Winter,3.1,No,Store Pickup,No,No,9,Cash,Every 3 Months
176,35,Male,Handbag,Accessories,77,Maine,L,Lavender,Fall,3.2,No,Standard,No,No,15,Bank Transfer,Annually
177,27,Male,Jeans,Clothing,47,Colorado,XL,Teal,Spring,3.4,No,Store Pickup,Yes,Yes,2,Bank Transfer,Every 3 Months
178,51,Female,Hoodie,Clothing,69,Montana,XL,Brown,Winter,4.3,No,Standard,No,No,11,PayPal,Annually
179,62,Female,Coat,Outerwear,68,Connecticut,L,Turquoise,Summer,4.9,No,Store Pickup,Yes,Yes,13,Debit Card,Every 3 Months
180,30,Female,Coat,Outerwear,37,Montana,L,Magenta,Fall,4.6,No,Store Pickup,Yes,Yes,15,PayPal,Every 3 Months
181,48,Female,Jeans,Clothing,44,Utah,S,Gray,Fall,3.4,No,2-Day Shipping,No,No,8,Venmo,Annually
182,28,Female,Scarf,Accessories,66,Colorado,M,Peach,Winter,2.7,Yes,Store Pickup,Yes,Yes,7,PayPal,Monthly
183,39,Male,Sweater,Clothing,28,Virginia,M,Silver,Spring,3.5,No,Express,No,No,20,PayPal,Quarterly
184,34,Male,Sunglasses,Accessories,62,New Jersey,L,White,Summer,3.4,No,Express,No,No,18,Venmo,Monthly
185,53,Female,Shirt,Clothing,35,Arizona,L,Blue,Summer,2.7,No,2-Day Shipping,No,No,10,Cash,Quarterly
186,34,Female,Shoes,Footwear,69,Oregon,M,Purple,Fall,4.0,No,Next Day Air,Yes,Yes,2,Cash,Every 3 Months
187,59,Male,Jacket,Outerwear,46,Alabama,XL,Gray,Winter,3.6,No,Next Day Air,No,No,6,Cash,Every 3 Months
188,40,Male,Hoodie,Clothing,71,New Mexico,S,Maroon,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,22,Cash,Monthly
189,34,Female,Gloves,Accessories,70,Montana,XL,Magenta,Summer,4.2,No,Express,No,No,13,Venmo,Quarterly
190,25,Male,Blouse,Clothing,55,Pennsylvania,S,Silver,Spring,4.1,No,Standard,Yes,Yes,7,Venmo,Every 3 Months
191,48,Female,Pants,Clothing,57,Maine,M,Indigo,Fall,3.7,No,Next Day Air,No,No,22,Bank Transfer,Quarterly
192,57,Male,Sweater,Clothing,82,Colorado,L,Gold,Summer,4.7,No,Next Day Air,Yes,Yes,17,Debit Card,Monthly
193,48,Male,Shirt,Clothing,45,Maryland,M,Maroon,Fall,3.4,No,Next Day Air,No,No,13,Bank Transfer,Monthly
194,70,Female,Coat,Outerwear,65,Rhode Island,L,Pink,Winter,3.2,Yes,Next Day Air,No,No,3,Debit Card,Annually
195,65,Male,Pants,Clothing,68,West Virginia,L,Turquoise,Fall,3.6,No,Store Pickup,No,No,12,PayPal,Annually
196,39,Male,Sneakers,Footwear,67,Hawaii,L,Beige,Spring,4.0,No,Free Shipping,No,No,8,Bank Transfer,Every 3 Months
197,39,Female,T-shirt,Clothing,54,Louisiana,M,Orange,Winter,4.1,No,Store Pickup,Yes,Yes,20,Cash,Quarterly
198,51,Female,Scarf,Accessories,38,Utah,M,Black,Summer,3.5,No,Express,Yes,Yes,14,Cash,Annually
199,31,Male,Belt,Accessories,73,Kansas,S,Peach,Summer,3.6,No,2-Day Shipping,No,No,19,Bank Transfer,Bi-Weekly
200,61,Male,Jacket,Outerwear,48,Illinois,M,Peach,Winter,4.4,No,Next Day Air,No,No,43,Bank Transfer,Fortnightly
201,49,Female,Dress,Clothing,94,Tennessee,S,Turquoise,Fall,2.9,No,Express,Yes,Yes,12,Bank Transfer,Every 3 Months
202,48,Female,Sweater,Clothing,39,Missouri,M,Charcoal,Winter,5.0,No,Standard,No,No,7,Debit Card,Every 3 Months
203,54,Male,Backpack,Accessories,39,New Jersey,L,Silver,Winter,3.6,No,Express,Yes,Yes,10,Cash,Annually
204,70,Male,Scarf,Accessories,68,Missouri,XL,Purple,Summer,3.6,Yes,Store Pickup,No,No,31,Cash,Bi-Weekly
205,47,Male,Jewelry,Accessories,72,New Mexico,L,Pink,Winter,4.0,Yes,Express,Yes,Yes,12,Cash,Annually
206,42,Male,Dress,Clothing,42,Indiana,S,Peach,Spring,4.0,No,Next Day Air,No,No,10,Credit Card,Annually
